# dataset: GeoCSV2.0
# created: 2021-07-01 14:08:58 UTC (netCDF_2_GeoCSV_3D.py)
# netCDF_file: SoCal-BergEtAl2021-UpperCrustVsandVpVs.r0.0.nc
# delimiter: |
# global_title: Southern California Bayesian model of upper crust to near-surface Vs and near-suface Vp/Vs.
# global_id: SoCal_BergEtAl2021_UpperCrustVsandVpVs
# global_data_revision: r.0.0
# global_summary: SoCal_BergEtAl2021_UpperCrustVsandVpVs is a model of Vs in the near-surface into the upper crust and Vp/Vs in the near-surface, both with defined uncertainties, determined from Bayesian joint inversion of ambient-noise Rayleigh phase velocity and ellipticity, along with the first 2s of teleseismic receiver functions.
# global_keywords: seismic, tomography, shear wave, vs, vp/vs, Bayesian
# global_Conventions: CF-1.0
# global_Metadata_Conventions: Unidata Dataset Discovery v1.0
# global_acknowledgment: Model was provided by Dr Elizabeth Berg, ; Department of Geology and Geophysics University of Utah
# global_history: 2021-07-01 14:08:58 UTC Converted to GeoCSV by netCDF_2_GeoCSV_3D.py ,V.2020.273 from SoCal-BergEtAl2021-UpperCrustVsandVpVs.r0.0.nc; 2021-06-30 19:28:56 UTC Converted to netCDF by GeoCSV_2_netCDF_3D.py v2021.088 from SoCal_BergEtAl2021_UpperCrustVsandVpVs.csv; 
# global_comment: model converted to netCDF by IRIS EMC
# global_geospatial_lat_min: 32.79999923706055
# global_geospatial_lat_max: 35.79999923706055
# global_geospatial_lat_units: degrees_north
# global_geospatial_lat_resolution: 0.05000000074505806
# global_geospatial_lon_min: -120.30000305175781
# global_geospatial_lon_max: -115.0999984741211
# global_geospatial_lon_units: degrees_east
# global_geospatial_lon_resolution: 0.05000000074505806
# global_geospatial_vertical_min: 0.0
# global_geospatial_vertical_max: 20.0
# global_geospatial_vertical_units: km
# global_geospatial_vertical_positive: down
# global_NCO: netCDF Operators version 4.7.5 (Homepage = http://nco.sf.net, Code = http://github.com/nco/nco)
# global_netcdf_file: SoCal_BergEtAl2021_UpperCrustVsandVpVs.nc
# global_reference: Berg et al. (2021)
# global_reference_pid: doi:10.1029/2021GL092626
# global_author_name: E. M. Berg
# global_author_email: eliza.m.berg@gmail.com
# global_author_institution: Department of Geology and Geophysics, University of Utah, Salt Lake City, UT
# global_author_url: https://elizaberg.com/
# global_repository_name: EMC
# global_repository_institution: IRIS DMC
# global_repository_pid: doi:10.17611/dp/emc.2021.scabergetal.1
# latitude_column: latitude
# latitude_long_name: Latitude; positive north
# latitude_units: degrees_north
# latitude_standard_name: latitude
# longitude_column: longitude
# longitude_long_name: Longitude; positive east
# longitude_units: degrees_east
# longitude_standard_name: longitude
# depth_column: depth
# depth_long_name: depth below earth surface
# depth_units: km
# depth_positive: down
# vs_column: vs
# vs_long_name: Shear Velocity
# vs_display_name: S Velocity (km/s)
# vs_units: km.s-1
# vpvs_column: vpvs
# vpvs_long_name: Vp/Vs Ratio
# vpvs_display_name: Ratio P Velocity to S Velocity (dimensionless)
# vpvs_units: count
# stdvs_column: stdvs
# stdvs_long_name: Standard Deviation Shear Velocity
# stdvs_display_name: Uncertainty Vs (km/s)
# stdvs_units: km.s-1
# stdvpvs_column: stdvpvs
# stdvpvs_long_name: Standard Deviation Ratio P Velocity to S Velocity (dimensionless)
# stdvpvs_display_name: Uncertainty Vp/Vs (dimensionless)
# stdvpvs_units: count
latitude|longitude|depth|vs|vpvs|stdvs|stdvpvs
32.8|-120.3|0.0|nan|nan|nan|nan
32.8|-120.25|0.0|nan|nan|nan|nan
32.8|-120.2|0.0|nan|nan|nan|nan
32.8|-120.15|0.0|nan|nan|nan|nan
32.8|-120.1|0.0|nan|nan|nan|nan
32.8|-120.05|0.0|nan|nan|nan|nan
32.8|-120.0|0.0|nan|nan|nan|nan
32.8|-119.95|0.0|nan|nan|nan|nan
32.8|-119.9|0.0|nan|nan|nan|nan
32.8|-119.85|0.0|nan|nan|nan|nan
32.8|-119.8|0.0|nan|nan|nan|nan
32.8|-119.75|0.0|nan|nan|nan|nan
32.8|-119.7|0.0|nan|nan|nan|nan
32.8|-119.65|0.0|nan|nan|nan|nan
32.8|-119.6|0.0|nan|nan|nan|nan
32.8|-119.55|0.0|nan|nan|nan|nan
32.8|-119.5|0.0|nan|nan|nan|nan
32.8|-119.45|0.0|nan|nan|nan|nan
32.8|-119.4|0.0|nan|nan|nan|nan
32.8|-119.35|0.0|nan|nan|nan|nan
32.8|-119.3|0.0|nan|nan|nan|nan
32.8|-119.25|0.0|nan|nan|nan|nan
32.8|-119.2|0.0|nan|nan|nan|nan
32.8|-119.15|0.0|nan|nan|nan|nan
32.8|-119.1|0.0|nan|nan|nan|nan
32.8|-119.05|0.0|nan|nan|nan|nan
32.8|-119.0|0.0|nan|nan|nan|nan
32.8|-118.95|0.0|nan|nan|nan|nan
32.8|-118.9|0.0|nan|nan|nan|nan
32.8|-118.85|0.0|nan|nan|nan|nan
32.8|-118.8|0.0|nan|nan|nan|nan
32.8|-118.75|0.0|nan|nan|nan|nan
32.8|-118.7|0.0|nan|nan|nan|nan
32.8|-118.65|0.0|nan|nan|nan|nan
32.8|-118.6|0.0|nan|nan|nan|nan
32.8|-118.55|0.0|nan|nan|nan|nan
32.8|-118.5|0.0|nan|nan|nan|nan
32.8|-118.45|0.0|nan|nan|nan|nan
32.8|-118.4|0.0|nan|nan|nan|nan
32.8|-118.35|0.0|nan|nan|nan|nan
32.8|-118.3|0.0|nan|nan|nan|nan
32.8|-118.25|0.0|nan|nan|nan|nan
32.8|-118.2|0.0|nan|nan|nan|nan
32.8|-118.15|0.0|nan|nan|nan|nan
32.8|-118.1|0.0|nan|nan|nan|nan
32.8|-118.05|0.0|nan|nan|nan|nan
32.8|-118.0|0.0|nan|nan|nan|nan
32.8|-117.95|0.0|nan|nan|nan|nan
32.8|-117.9|0.0|nan|nan|nan|nan
32.8|-117.85|0.0|nan|nan|nan|nan
32.8|-117.8|0.0|nan|nan|nan|nan
32.8|-117.75|0.0|nan|nan|nan|nan
32.8|-117.7|0.0|nan|nan|nan|nan
32.8|-117.65|0.0|nan|nan|nan|nan
32.8|-117.6|0.0|nan|nan|nan|nan
32.8|-117.55|0.0|nan|nan|nan|nan
32.8|-117.5|0.0|nan|nan|nan|nan
32.8|-117.45|0.0|nan|nan|nan|nan
32.8|-117.4|0.0|nan|nan|nan|nan
32.8|-117.35|0.0|nan|nan|nan|nan
32.8|-117.3|0.0|nan|nan|nan|nan
32.8|-117.25|0.0|nan|nan|nan|nan
32.8|-117.2|0.0|nan|nan|nan|nan
32.8|-117.15|0.0|2.4085|1.78424|0.53144|0.10664
32.8|-117.1|0.0|2.44238|1.79971|0.52847|0.10508
32.8|-117.05|0.0|2.48434|1.81405|0.5248|0.1012
