epoch,train_loss,val_loss,det_f1,p_f1,s_f1,score,lr
1,9.437319099420309,9.836518036871881,0.738225306363502,0.00015600624024960998,0.004281321760790877,0.2475542114548475,0.0004914814565722671
2,9.746391704103681,9.804683959077716,0.738225306363502,0.0024931827035449944,0.06899148904119906,0.2699033260360821,0.00046650635094610973
3,9.743078210716778,9.807570300930626,0.738225306363502,0.0007018364721020001,0.0014810772888490468,0.24680274004148436,0.00042677669529663686
4,9.70175292024215,9.955614458371718,0.06344569726003389,0.0007797878976918278,0.0009356725146198831,0.02172038589078187,0.000375
5,9.637202966194682,9.778206407600711,0.6650542307546956,0.009162913495884453,0.013405137344543025,0.2292074271983744,0.0003147047612756302
6,9.704509846712483,9.813631397056565,0.738225306363502,0.0013252777236406159,0.001169453865045024,0.24690667931739593,0.00025
7,9.743003683023982,9.805709941309619,0.738225306363502,0.0020261845386533666,0.0013252777236406159,0.24719225620859867,0.00018529523872436984
8,9.742196075296402,9.795753344720254,0.738225306363502,0.0007797878976918278,0.0006238789674803088,0.2465429910762247,0.00012500000000000006
9,nan,10.559472119383214,0.738225306363502,0.0004679457182966776,0.0015589679632083558,0.24675074001500233,7.322330470336314e-05
10,nan,nan,0.0,0.0,0.0,0.0,3.3493649053890325e-05
11,nan,nan,0.0,0.0,0.0,0.0,8.51854342773295e-06
12,nan,nan,0.0,0.0,0.0,0.0,0.0
